ticker,cik,concept,xbrl_tag,fiscal_year,period_end,filed_date,lag_days,value_usd,qa_status
KO,21344,NetIncome,NetIncomeLoss,2025,2025-12-31,2026-02-20,51,13107000000,clean
KO,21344,Assets,Assets,2025,2025-12-31,2026-02-20,51,104816000000,clean
KO,21344,StockholdersEquity,StockholdersEquity,2025,2025-12-31,2026-02-20,51,32169000000,clean
DIS,1744489,Revenue,Revenues,2025,2025-09-27,2025-11-13,47,94425000000,clean
DIS,1744489,NetIncome,NetIncomeLoss,2025,2025-09-27,2025-11-13,47,12404000000,clean
DIS,1744489,Assets,Assets,2025,2025-09-27,2025-11-13,47,197514000000,clean
DIS,1744489,StockholdersEquity,StockholdersEquity,2025,2025-09-27,2025-11-13,47,109869000000,clean
NFLX,1065280,Revenue,Revenues,2025,2025-12-31,2026-01-23,23,45183036000,clean
NFLX,1065280,NetIncome,NetIncomeLoss,2025,2025-12-31,2026-01-23,23,10981201000,clean
NFLX,1065280,Assets,Assets,2025,2025-12-31,2026-01-23,23,55596993000,clean
NFLX,1065280,StockholdersEquity,StockholdersEquity,2025,2025-12-31,2026-01-23,23,26615488000,clean
AMD,2488,Revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2025,2025-12-27,2026-02-04,39,34639000000,clean
AMD,2488,NetIncome,NetIncomeLoss,2025,2025-12-27,2026-02-04,39,4335000000,clean
AMD,2488,Assets,Assets,2025,2025-12-27,2026-02-04,39,76926000000,clean
AMD,2488,StockholdersEquity,StockholdersEquity,2025,2025-12-27,2026-02-04,39,62999000000,clean
INTC,50863,Revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2025,2025-12-27,2026-01-23,27,52853000000,clean
INTC,50863,NetIncome,NetIncomeLoss,2025,2025-12-27,2026-01-23,27,-267000000,clean
INTC,50863,Assets,Assets,2025,2025-12-27,2026-01-23,27,211429000000,clean
INTC,50863,StockholdersEquity,StockholdersEquity,2025,2025-12-27,2026-01-23,27,114281000000,clean
BA,12927,Revenue,Revenues,2025,2025-12-31,2026-01-30,30,89463000000,clean
BA,12927,NetIncome,NetIncomeLoss,2025,2025-12-31,2026-01-30,30,2235000000,clean
BA,12927,Assets,Assets,2025,2025-12-31,2026-01-30,30,168235000000,clean
BA,12927,StockholdersEquity,StockholdersEquity,2025,2025-12-31,2026-01-30,30,5454000000,clean
CAT,18230,Revenue,Revenues,2025,2025-12-31,2026-02-13,44,67589000000,clean
CAT,18230,NetIncome,ProfitLoss,2025,2025-12-31,2026-02-13,44,8882000000,clean
CAT,18230,Assets,Assets,2025,2025-12-31,2026-02-13,44,98585000000,clean
CAT,18230,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2025,2025-12-31,2026-02-13,44,21318000000,clean
